rank,search_url,url,title,source_listing_id,listing_type,matches_query
11,https://sfbay.craigslist.org/search/cta?query=ford+fiesta&sort=rel&max_price=9000,https://sfbay.craigslist.org/sby/cto/d/san-jose-2014-ford-fiesta-titanium/7915666093.html,2014 Ford Fiesta Titanium Hatchback 4D. Low miles 67K,7915666093,cto,True
12,https://sacramento.craigslist.org/search/cta?query=ford+fiesta&sort=rel&max_price=10000,https://sacramento.craigslist.org/cto/d/sacramento-2016-ford-fiesta-st/7913789478.html,2016 Ford Fiesta St,7913789478,cto,True
12,https://sfbay.craigslist.org/search/cta?query=ford+fiesta&sort=rel&max_price=9000,https://sfbay.craigslist.org/eby/ctd/d/modesto-2017-ford-fiesta-financing/7915212469.html,2017 Ford Fiesta - Financing Available!,7915212469,ctd,True
13,https://sfbay.craigslist.org/search/cta?query=ford+fiesta&sort=rel&max_price=9000,https://sfbay.craigslist.org/eby/cto/d/fremont-2012-ford-fiesta-low-mileage/7915065099.html,2012 ford fiesta low mileage,7915065099,cto,True
14,https://sfbay.craigslist.org/search/cta?query=ford+fiesta&sort=rel&max_price=9000,https://sfbay.craigslist.org/nby/ctd/d/west-sacramento-2019-ford-fiesta-clean/7915013398.html,2019 Ford Fiesta - CLEAN TITLE\*\*\*LOW MILES\*\*RELIABLE\*\*WE FINANCE\*\*FINA,7915013398,ctd,True
15,https://sfbay.craigslist.org/search/cta?query=ford+fiesta&sort=rel&max_price=9000,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2019-ford-fiesta-se-low-miles/7914889100.html,2019 Ford fiesta se low miles clean title,7914889100,ctd,True
16,https://sfbay.craigslist.org/search/cta?query=ford+fiesta&sort=rel&max_price=9000,https://sfbay.craigslist.org/sby/cto/d/san-jose-2019-ford-fiesta-seon/7914595030.html,2019 Ford Fiesta Se..on sale..clean title below retail value-GAS SAVOR,7914595030,cto,True
17,https://sfbay.craigslist.org/search/cta?query=ford+fiesta&sort=rel&max_price=9000,https://sfbay.craigslist.org/sfc/ctd/d/daly-city-2014-ford-fiesta-titanium/7914024149.html,2014 Ford Fiesta Titanium Sedan sedan Storm Gray Metallic,7914024149,ctd,True
18,https://sfbay.craigslist.org/search/cta?query=ford+fiesta&sort=rel&max_price=9000,https://sfbay.craigslist.org/eby/cto/d/walnut-creek-2018-ford-fiesta-se-low/7913520397.html,2018 FORD FIESTA SE LOW MILES!,7913520397,cto,True
20,https://sfbay.craigslist.org/search/cta?query=ford+fiesta&sort=rel&max_price=9000,https://sfbay.craigslist.org/pen/cto/d/south-san-francisco-silver-ford-fiesta/7913166535.html,2013 13 SILVER FORD FIESTA SE CLEAN CARFAX & TITLE,7913166535,cto,True
30,https://sfbay.craigslist.org/search/cta?query=ford+fiesta&sort=rel&max_price=9000,https://sfbay.craigslist.org/nby/ctd/d/san-rafael-2011-ford-fiesta-se-se-habla/7911576845.html,2011 Ford Fiesta SE \* SE HABLA ESPANOL \*,7911576845,ctd,True
31,https://sacramento.craigslist.org/search/cta?query=ford+fiesta&sort=rel&max_price=10000,https://sacramento.craigslist.org/cto/d/roseville-2017-ford-fiesta-se-92k-miles/7912200459.html,2017 ford fiesta SE 92k miles,7912200459,cto,True
